iter	Passed	Remaining
0	2	215
1	4	216
2	16	549
3	18	448
4	22	427
5	25	392
6	27	364
7	30	345
8	32	330
9	35	319
10	37	306
11	40	297
12	44	299
13	47	289
14	49	279
15	51	270
16	53	262
17	56	258
18	59	253
19	62	248
20	64	243
21	67	238
22	69	234
23	72	229
24	76	228
25	80	230
26	85	230
27	88	227
28	91	223
29	93	218
30	95	213
31	101	216
32	104	211
33	106	206
34	109	202
35	111	198
36	113	193
37	115	188
38	117	184
39	120	180
40	122	176
41	123	170
42	125	166
43	128	163
44	130	159
45	132	155
46	135	152
47	137	148
48	140	145
49	142	142
50	145	140
51	147	136
52	149	132
53	151	129
54	153	125
55	155	122
56	158	119
57	160	116
58	162	112
59	167	111
60	170	108
61	172	105
62	174	102
63	176	99
64	177	95
65	179	92
66	181	89
67	183	86
68	185	83
69	188	80
70	190	77
71	192	74
72	194	71
73	196	69
74	198	66
75	200	63
76	202	60
77	205	57
78	207	55
79	209	52
80	212	49
81	214	47
82	216	44
83	218	41
84	220	38
85	222	36
86	224	33
87	228	31
88	231	28
89	233	25
90	235	23
91	237	20
92	239	18
93	241	15
94	243	12
95	245	10
96	247	7
97	249	5
98	251	2
99	253	0
